Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD
712,2017-07-25,Noticeboard,Consumer Internet,Mobile-First Enterprise Communication Platform,Bangalore,"Stellaris Venture Partners,",Private Equity,1200000.0
713,2017-07-25,Byju\\Xe2\\X80\\X99S,Consumer Internet,Mobile Learning App,Bangalore,Tencent Holdings,Private Equity,35000000.0
715,2017-07-26,Fab Hotels,Consumer Internet,Budget Hotels Brand & Aggregator Platform,New Delhi,Goldman Sachs,Private Equity,25000000.0
716,2017-07-26,Thinkerbell,Consumer Internet,Assisted Learning Startup,Bangalore,"Indian Angel Network, Anand Mahindra",Seed Funding,200000.0
717,2017-07-27,1Mg,Ecommerce,Online Pharmacy,Gurgaon,"Hbm Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network And Kae Capital",Private Equity,15000000.0
719,2017-07-28,Bigstylist,Consumer Internet,Beauty Services Marketplace,Mumbai,Info Edge (India) Ltd,Private Equity,1250000.0
722,2017-06-02,Rentongo,Ecommerce,"Online Marketplace For Renting Bikes, Electronics & Appliances",Bangalore,Tvs Motor Company,Seed Funding,234000.0
723,2017-06-05,Goomo,Consumer Internet,Online Travel & Holiday Booking Platform,Mumbai,Emerging India,Private Equity,50000000.0
725,2017-06-06,Spinny,Ecommerce,Online Used Car Marketplace,Gurgaon,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon",Private Equity,1000000.0
728,2017-06-06,Bhive Workspace,Consumer Internet,Co-Working Spaces,Bangalore,Blume Ventures,Private Equity,1200000.0
729,2017-06-06,Wayforward,Consumer Internet,Mobile App For Mental Health,New Delhi,"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan",Seed Funding,1000000.0
732,2017-06-07,Ziploan,Consumer Internet,Online Lending Platform,New Delhi,Waterbridge Ventures,Seed Funding,650000.0
733,2017-06-07,Growfitter,Consumer Internet,Health And Fitness Discovery Platform,Mumbai,Sque Capital,Seed Funding,600000.0
734,2017-06-08,Stratfit,Consumer Internet,Health Coaching Programs,Hyderabad,Bodhtree Consulting Limited,Seed Funding,232000.0
735,2017-06-08,Multiplier Solutions,Technology,Crm Software For Healthcare Space,Hyderabad,Norwest Venture Partners,Private Equity,1500000.0
736,2017-06-08,Abi Health,Technology,Unified Digital Health Platform,Bangalore,Norwest Venture Partners,Private Equity,1500000.0
737,2017-06-08,Stockal,Consumer Internet,App-Based Investment Advisory Services,Bangalore,"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha",Seed Funding,350000.0
738,2017-06-09,Guidoo,Consumer Internet,Travel & Adventure Planning Platform,Mumbai,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao",Seed Funding,300000.0
739,2017-06-09,Esahai.In,Consumer Internet,Ambulance Aggregator And Medical Taxi Provider,Hyderabad,"Dr Ramesh Ayyala, Satya Muthyala",Seed Funding,250000.0
741,2017-06-12,Lendingkart,Consumer Internet,Online Lending Platform,Ahmedabad,Yes Bank,Debt Funding,7800000.0
742,2017-06-12,Boxx.Ai,Technology,Artificial Intelligence,Bangalore,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava",Private Equity,500000.0
743,2017-06-12,Peesafe.In,Healthcare,Hygiene Care Product Manufacturer,New Delhi,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",Private Equity,1000000.0
744,2017-06-12,Vista Rooms,Consumer Internet,Online Rooms Aggregation Platform,Mumbai,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham",Seed Funding,776000.0
745,2017-06-12,Coverfox,Consumer Internet,Online Insurance Brokerage Platform,Mumbai,Transamerica,Private Equity,15000000.0
747,2017-06-13,Goodera,Technology,Csr And Sustainability Management Platform,Bangalore,"Nexus Venture Partners, Omidyar Network",Private Equity,5500000.0
749,2017-06-14,Ola,Consumer Internet,Cab Aggregation App,Bangalore,Tekne Capital Management Llc,Private Equity,50000000.0
751,2017-06-14,Mrneeds,Consumer Internet,Micro Food Delivery Platform,Noida,Undisclosed Investors,Seed Funding,500000.0
752,2017-06-15,Moneytap,Consumer Internet,Money Lending Platform,Bangalore,"Sequoia India, Nea, Prime Venture Partners",Private Equity,12300000.0
753,2017-06-16,Goodbox,Ecommerce,Mobile Saas\\Xc2\\Xa0 Ecommerce Platform For Smes,Bangalore,"Nexus Venture Partners, Mekin Maheshwari",Private Equity,1000000.0
754,2017-06-16,Fincash,Consumer Internet,Personal Finance Platform,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed Funding,100000.0
755,2017-06-16,Portdesk,Technology,Maritime Solutions,Noida,Alphard Maritime Group,Seed Funding,2000000.0
759,2017-06-19,Unbxd,Technology,Cloud-Based Product Discovery Platform,Bangalore,Eight Roads Ventures,Private Equity,12500000.0
760,2017-06-19,Darwinbox,Technology,Enterprise Human Resources Management Platform,Hyderabad,"Lightspeed India Partners, Endiya Partners, 3One4 Capital Advisors Llp, Startupxseed Ventures Llp",Private Equity,4000000.0
761,2017-06-20,Forevershop,Consumer Internet,Mobile Based Ecommerce Platform,Bangalore,91Maker.Com,Seed Funding,300000.0
762,2017-06-20,Insider.In,Consumer Internet,Events Ticketing Platform,Mumbai,Paytm,Private Equity,5200000.0
763,2017-06-21,Fynd,Ecommerce,Fashion Etailer,Mumbai,"Iifl Seed Ventures, Kae Capital, Fj Labs, Singularity Ventures, Growx, Tracxn Labs, Axis Capital",Private Equity,2400000.0
764,2017-06-21,Grow Fit,Consumer Internet,Health-Tech Platform,Bangalore,"Manipal Education And Medical Group (Memg), Sar Group, The Grover Trust",Private Equity,4500000.0
765,2017-06-21,Fabulyst,Technology,Artificial Intelligence Based Platform,Hyderabad,Ibhubs,Seed Funding,215000.0
766,2017-06-21,Mswipe,Technology,Point-Of-Sale Services,Mumbai,"Uc-Rnt Fund, Matrix Partners, Alcon Edge Capital, Dsg Consumer Partners",Private Equity,31000000.0
768,2017-06-22,Julia Computing,Technology,Open Source Language For Data Science And Machine Learning,Bangalore,"General Catalyst, Founder Collective",Private Equity,4600000.0
769,2017-06-22,Kissht,Consumer Internet,Consumer Lending Platform,Mumbai,"Endiya Partners, Ventureast",Private Equity,2000000.0
770,2017-06-22,Explore Life Traveling,Consumer Internet,Local Homes Booking Platform,Bangalore,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Seed Funding,500000.0
771,2017-06-23,Loantap,Consumer Internet,Lending Platform For Salaried Professionals,Mumbai,"Kae Capital, India Quotient, Ifmr, And Mas Financial Services Ltd",Private Equity,4000000.0
772,2017-06-23,Voxweb,Consumer Internet,Mobile Based Social Networking Platform,Mumbai,Undisclosed Investors,Seed Funding,1000000.0
773,2017-06-26,Hug Innovations,Technology,Gesture Based\\Xc2\\Xa0 Smartwatch Manufacturer,Hyderabad,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon",Private Equity,5000000.0
774,2017-06-26,Flipkart,Ecommerce,Online Marketplace,Bangalore,Naspers,Private Equity,71000000.0
775,2017-06-26,V Resorts,Consumer Internet,Holiday & Vacation Resort Aggregator,Noida,"Seedfund, Rb International",Private Equity,4000000.0
776,2017-06-27,Stashfin,Consumer Internet,Personal Finance App,New Delhi,"Snow Leopard Ventures, Alto Partners",Private Equity,5000000.0
778,2017-06-27,Spares Hub,Ecommerce,Automobile Parts Marketplace,Pune,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting",Seed Funding,311000.0
780,2017-06-28,Rubique,Consumer Internet,Online Marketplace For Financial Products,Mumbai,"Kalaari Capital, Udayan Goyal",Private Equity,3000000.0
781,2017-06-28,Niki.Ai,Consumer Internet,Ai Based Personal Assistant,Bangalore,"Sap.Io, Unilazer Ventures",Private Equity,2000000.0
782,2017-06-29,Fitpass,Consumer Internet,Online Fitness Marketplace,New Delhi,"Abhinav Bindra, Gaurav Marya",Private Equity,1000000.0
784,2017-06-30,Tagos Design,Technology,In-Video Discovery Platform,Bangalore,Undisclosed Investors,Private Equity,5000000.0
785,2017-06-30,Urbanclap,Consumer Internet,Mobile Services Marketplace,Gurgaon,"Vy Capital, Saif Partners, Accel Partner, Bessemer Venture Partners",Private Equity,21000000.0
786,2017-05-01,Ace2Three,Consumer Internet,Online Rummy Playing Website,Hyderabad,Clairvest Group,Private Equity,73700000.0
787,2017-05-01,Power2Sme,Ecommerce,Buying Portal For Smes,Gurgaon,International Finance Corporation,Private Equity,10000000.0
788,2017-05-02,Innovapptive,Technology,Enterprise Mobility Solutions,Hyderabad,Hyderabad Angels,Seed Funding,1500000.0
789,2017-05-02,4Tigo,Logistics,Truck Network Company,Bangalore,"Accel Partners, Nandan Nilekani,",Private Equity,10000000.0
791,2017-05-02,Zippserve,Consumer Internet,Real Estate Risk Assessment Platform,Bangalore,Undisclosed Investors,Seed Funding,390000.0
792,2017-05-03,Ola,Consumer Internet,Cab Aggregation App,Bangalore,"Falcon Edge Capital,\\Xc2\\Xa0 Capital Advisers",Private Equity,104500000.0
793,2017-05-03,Sumeru,Technology,Software & Mobile Development Services,Bangalore,Undisclosed Investors,Seed Funding,1000000.0
799,2017-05-05,Balance App,Consumer Internet,Money Savings & Management App,Bangalore,Rainmatter,Seed Funding,233000.0
800,2017-05-08,Yepme,Ecommerce,Private Label Fashion Etailer,Gurgaon,"Rainbow Digital Services Pvt. Ltd, Ilearnfinance Academy Pvt. Ltd.",Private Equity,700000.0
803,2017-05-08,Mygreens,Food & Beverage,Cold-Press Juices Manufacturer,New Delhi,"Ajay Relan, Letsventure",Seed Funding,1000000.0
804,2017-05-08,Ace Turtle,Technology,Omni-Channel Platform,Bangalore,"Vertex Ventures, C31 Ventures",Private Equity,5000000.0
805,2017-05-08,Curefit,Technology,Health-Tech Platform,Bangalore,"Trifecta Capital Advisors Llp, Prathithi Investment Trust, Rnt Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & Others",Private Equity,3200000.0
806,2017-05-09,Curie Labs,Technology,Energy Analytics Startup,New Delhi,Satoshi Studios,Seed Funding,50000.0
811,2017-05-10,Vidooly,Consumer Internet,Video Intelligence Platform,Noida,"Times Internet, Gvfl",Private Equity,1400000.0
812,2017-05-10,Shopclues,Ecommerce,Online Marketplace,Gurgaon,Innoven Capital,Private Equity,7700000.0
813,2017-05-10,Fourth Ambit,Consumer Internet,Community Building Platform,Bangalore,1Crowd,Seed Funding,600000.0
815,2017-05-11,Early Salary,Consumer Internet,Online Lending Platform,Pune,"Dg Ventures India, Dewan Housing Finance Corp",Private Equity,4000000.0
818,2017-05-12,Legal Raasta,Consumer Internet,Legal Services To Smes & Individuals,New Delhi,Impanix Capital,Private Equity,5000000.0
820,2017-05-12,Remit Guru,Consumer Internet,Digital Money Transfer Platform,Mumbai,"Infibeam, Ccavenue",Private Equity,466000.0
821,2017-05-12,Aequm,Ecommerce,Cloud Ecommerce Platform,Bangalore,Undisclosed Investors,Seed Funding,1000000.0
822,2017-05-15,Zapty,Technology,Project Management Tool,Bangalore,Ideaspring Capital,Seed Funding,500000.0
825,2017-05-16,Telr,Technology,Online Payment Gateway,Mumbai,Innovations East,Private Equity,3000000.0
